algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:15|fim:2016-05-13 15:40:15|duracao(nanosec):1121529
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:15|fim:2016-05-13 15:40:15|duracao(nanosec):1045029
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:15|fim:2016-05-13 15:40:15|duracao(nanosec):1155675
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:15|fim:2016-05-13 15:40:15|duracao(nanosec):981217
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:15|fim:2016-05-13 15:40:15|duracao(nanosec):1143364
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:16|fim:2016-05-13 15:40:16|duracao(nanosec):1095279
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:16|fim:2016-05-13 15:40:16|duracao(nanosec):1214300
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:16|fim:2016-05-13 15:40:16|duracao(nanosec):1091840
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:16|fim:2016-05-13 15:40:16|duracao(nanosec):1121592
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:17|fim:2016-05-13 15:40:17|duracao(nanosec):1142917
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:17|fim:2016-05-13 15:40:17|duracao(nanosec):1044937
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:17|fim:2016-05-13 15:40:17|duracao(nanosec):976109
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:17|fim:2016-05-13 15:40:17|duracao(nanosec):1054107
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:18|fim:2016-05-13 15:40:18|duracao(nanosec):1039550
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:18|fim:2016-05-13 15:40:18|duracao(nanosec):1098345
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:18|fim:2016-05-13 15:40:18|duracao(nanosec):1134196
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:18|fim:2016-05-13 15:40:18|duracao(nanosec):1054668
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:19|fim:2016-05-13 15:40:19|duracao(nanosec):1147514
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:19|fim:2016-05-13 15:40:19|duracao(nanosec):1005993
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:19|fim:2016-05-13 15:40:19|duracao(nanosec):1153828
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:19|fim:2016-05-13 15:40:19|duracao(nanosec):1126090
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:20|fim:2016-05-13 15:40:20|duracao(nanosec):1042641
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:20|fim:2016-05-13 15:40:20|duracao(nanosec):1087902
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:20|fim:2016-05-13 15:40:20|duracao(nanosec):1025127
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:20|fim:2016-05-13 15:40:20|duracao(nanosec):1206372
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:21|fim:2016-05-13 15:40:21|duracao(nanosec):1120945
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:21|fim:2016-05-13 15:40:21|duracao(nanosec):1045050
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:21|fim:2016-05-13 15:40:21|duracao(nanosec):1134962
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:21|fim:2016-05-13 15:40:21|duracao(nanosec):1101072
